"Name";"Matrix1X";"Matrix1Y";"Matrix1Z";"Matrix1W";"Matrix2X";"Matrix2Y";"Matrix2Z";"Matrix2W";"Matrix3X";"Matrix3Y";"Matrix3Z";"Matrix3W";"Matrix4X";"Matrix4Y";"Matrix4Z";"Matrix4W"
"2000/0771";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"0,000000";"3,380594";"0,000000";"1,000000"
"2000-fibre/2";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"0,000000";"3,380594";"0,000000";"1,000000"
"6606/1";"0,000000";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"3,380594";"0,000000";"1,000000"
"6606-fibre/1";"0,000000";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"3,380594";"0,000000";"1,000000"
"6604/1";"0,000000";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"-0,000001";"3,380594";"-1,072000";"1,000000"
"6604-fibre/1";"0,000000";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"-0,000001";"3,380594";"-1,072000";"1,000000"
"6606/1";"0,000000";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"-0,000001";"3,380594";"-1,665310";"1,000000"
"6606-fibre/1";"0,000000";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"-0,000001";"3,380594";"-1,665310";"1,000000"
"6614/1";"0,000000";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"-0,000002";"3,380594";"-2,737310";"1,000000"
"6614-fibre/1";"0,000000";"-1,000000";"0,000000";"0,000000";"0,000000";"0,000000";"-1,000000";"0,000000";"1,000000";"0,000000";"0,000000";"0,000000";"-0,000002";"3,380594";"-2,737310";"1,000000"
